addAtIndex, , addToFront, , addToBack, , removeAtIndex, , removeFromFront, , removeFromBack, , get, , 
n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), 
77001, 350638, 77002, 4358, 77003, 4160, 77002, 152888, 77001, 4051, 77000, 1984, 77001, 159091, 
78001, 330315, 78002, 7954, 78003, 4399, 78002, 144725, 78001, 6365, 78000, 2119, 78001, 135320, 
79001, 332185, 79002, 5901, 79003, 4933, 79002, 732558, 79001, 12590, 79000, 2380, 79001, 1376576, 
80001, 304383, 80002, 4475, 80003, 5674, 80002, 124560, 80001, 4085, 80000, 2163, 80001, 101726, 
81001, 354865, 81002, 5159, 81003, 4148, 81002, 149827, 81001, 3847, 81000, 2486, 81001, 115732, 
82001, 394743, 82002, 5551, 82003, 3601, 82002, 157140, 82001, 3527, 82000, 2298, 82001, 118413, 
83001, 361379, 83002, 6518, 83003, 4302, 83002, 183641, 83001, 588007, 83000, 6629, 83001, 193635, 
84001, 555357, 84002, 10918, 84003, 7271, 84002, 240271, 84001, 9174, 84000, 3324, 84001, 143881, 
85001, 431933, 85002, 6535, 85003, 6097, 85002, 185118, 85001, 5537, 85000, 2454, 85001, 135831, 
86001, 352804, 86002, 4797, 86003, 4073, 86002, 159392, 86001, 4299, 86000, 11219, 86001, 2142968, 
87001, 405887, 87002, 5974, 87003, 4957, 87002, 394832, 87001, 8759, 87000, 3999, 87001, 139298, 
88001, 336827, 88002, 4881, 88003, 4741, 88002, 139140, 88001, 4654, 88000, 1831, 88001, 121447, 
89001, 567514, 89002, 9945, 89003, 4522, 89002, 140935, 89001, 4203, 89000, 1898, 89001, 105986, 
90001, 506253, 90002, 4839, 90003, 3769, 90002, 166347, 90001, 4822, 90000, 2382, 90001, 117431, 
91001, 763750, 91002, 10790, 91003, 5226, 91002, 176124, 91001, 4575, 91000, 2033, 91001, 130011, 
92001, 569490, 92002, 10591, 92003, 7703, 92002, 226747, 92001, 8181, 92000, 2514, 92001, 167397, 
93001, 623596, 93002, 8945, 93003, 4709, 93002, 206995, 93001, 5760, 93000, 2628, 93001, 700611, 
94001, 558600, 94002, 9833, 94003, 6262, 94002, 154038, 94001, 5770, 94000, 3334, 94001, 169021, 
95001, 774998, 95002, 8352, 95003, 4397, 95002, 173189, 95001, 6762, 95000, 2067, 95001, 150809, 
96001, 504680, 96002, 8439, 96003, 4294, 96002, 552176, 96001, 8782, 96000, 2503, 96001, 206628, 
97001, 612322, 97002, 9315, 97003, 4975, 97002, 190254, 97001, 6661, 97000, 2579, 97001, 169726, 
98001, 531267, 98002, 5985, 98003, 3451, 98002, 188036, 98001, 4489, 98000, 3841, 98001, 123394, 
99001, 577793, 99002, 7430, 99003, 15708, 99002, 179105, 99001, 4152, 99000, 1674, 99001, 127525, 
